,Date,parameter,value
131,2021-05-20,pm25,25.451612903225808
132,2021-05-21,pm10,40.76315789473684
133,2021-05-21,pm25,18.7
134,2021-05-22,pm10,36.753846153846155
135,2021-05-22,pm25,18.833333333333332
136,2021-05-24,pm10,29.0
137,2021-05-24,pm25,11.333333333333334
138,2021-05-25,pm10,37.64705882352941
139,2021-05-25,pm25,24.266666666666666
140,2021-05-27,pm10,39.355932203389834
141,2021-05-27,pm25,19.285714285714285
142,2021-05-28,pm10,54.230088495575224
143,2021-05-28,pm25,23.85185185185185
144,2021-05-29,pm10,50.19205298013245
145,2021-05-29,pm25,27.492957746478872
146,2021-05-30,pm10,35.83552631578947
147,2021-05-30,pm25,15.722222222222221
148,2021-05-31,pm10,44.6044776119403
149,2021-05-31,pm25,20.887323943661972
150,2021-06-01,pm10,48.833333333333336
151,2021-06-01,pm25,20.046153846153846
152,2021-06-02,pm10,32.79661016949152
153,2021-06-02,pm25,12.859375
154,2021-06-03,pm10,23.98076923076923
155,2021-06-03,pm25,14.576271186440678
156,2021-06-04,pm10,29.77777777777778
157,2021-06-04,pm25,23.789473684210527
158,2021-06-05,pm10,31.07913669064748
159,2021-06-05,pm25,24.56451612903226
160,2021-06-06,pm10,27.440677966101696
161,2021-06-06,pm25,19.09433962264151
162,2021-06-07,pm10,30.72142857142857
163,2021-06-07,pm25,15.222222222222221
164,2021-06-08,pm10,39.29032258064516
165,2021-06-08,pm25,19.85185185185185
166,2021-06-10,pm10,27.862385321100916
167,2021-06-10,pm25,10.444444444444445
168,2021-06-11,pm10,22.773333333333333
169,2021-06-11,pm25,12.59375
170,2021-06-12,pm10,18.51492537313433
171,2021-06-12,pm25,11.163636363636364
172,2021-06-13,pm10,14.675925925925926
173,2021-06-13,pm25,11.76595744680851
174,2021-06-14,pm10,9.75
175,2021-06-14,pm25,6.159090909090909
176,2021-06-15,pm10,15.017241379310345
177,2021-06-15,pm25,5.866666666666666
178,2021-06-17,pm10,22.66176470588235
179,2021-06-17,pm25,8.423076923076923
180,2021-06-18,pm10,21.466666666666665
181,2021-06-18,pm25,11.0
182,2021-06-19,pm10,12.350993377483444
183,2021-06-19,pm25,4.59375
184,2021-06-20,pm10,15.737226277372264
185,2021-06-20,pm25,6.552631578947368
186,2021-06-21,pm10,25.771428571428572
187,2021-06-21,pm25,13.537037037037036
188,2021-06-22,pm10,29.267123287671232
189,2021-06-22,pm25,13.672727272727272
190,2021-06-23,pm10,21.986486486486488
191,2021-06-23,pm25,11.596153846153847
192,2021-06-24,pm10,28.40776699029126
193,2021-06-24,pm25,23.105263157894736
194,2021-06-25,pm10,20.033898305084747
195,2021-06-25,pm25,12.285714285714286
196,2021-06-26,pm10,16.529411764705884
197,2021-06-26,pm25,10.172413793103448
198,2021-06-27,pm10,10.821192052980132
199,2021-06-27,pm25,9.78125
200,2021-06-28,pm10,15.64864864864865
201,2021-06-28,pm25,11.217391304347826
